LREntryNo,LREntryDate,VehicleNo,Capacity,Vehicle_Type,Vehicle_Ownership_Type,CustomerName,From_Station,To_Station,NetWt_Tons,Freight_Revenue_INR,Fuel_Cost_INR,Driver_Allowance_INR,Toll_Charges_INR,Total_Trip_Cost_INR,Profit_Margin_INR,Profit_Margin_Percent,Actual_Distance_Km,Trip_Duration_Hours,Delay_Hours
LR-2025-080136,2025-08-13,UP-81-CB-3234,19,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,28.3,37474,28143,4032,4373,42151,-4677,-12.48,1653,56.3,6
LR-2025-080137,2025-11-02,HR-18-AA-3507,28,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,28.0,86796,24348,3812,2636,87853,-1057,-1.22,804,42.5,3
LR-2025-080138,2025-11-22,GJ-61-CB-4015,19,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,27.2,63085,35057,6165,4309,60762,2323,3.68,2178,64.1,1
LR-2025-080139,2025-12-18,UP-28-BA-3797,28,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,25.1,62334,31130,4750,3767,52114,10220,16.4,1567,32.2,0
LR-2025-080140,2025-07-06,GJ-60-CA-2758,25,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,18.3,72585,45841,3406,1914,73771,-1186,-1.63,1540,41.6,0
LR-2025-080141,2025-12-15,KA-15-BC-3282,25,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,28.0,34722,48038,3934,1837,36871,-2149,-6.19,1028,36.0,3
LR-2025-080142,2025-08-11,TN-75-AB-3858,32,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,12.7,66978,40235,4682,4729,58244,8734,13.04,953,31.6,2
LR-2025-080143,2025-12-06,KA-58-CB-3955,28,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,24.4,53852,51225,5976,4498,66788,-12936,-24.02,2532,30.5,1
LR-2025-080144,2025-09-25,TN-18-AA-1483,32,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,12.8,72591,24326,5524,2235,91225,-18634,-25.67,2425,68.3,0
LR-2025-080145,2025-10-24,HR-32-CA-7882,16,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,10.8,83801,34415,3268,1953,73778,10023,11.96,678,40.7,0
LR-2025-080146,2025-11-09,RJ-23-CB-7187,19,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,30.3,75372,31089,3601,2834,90232,-14860,-19.72,2391,40.5,0
LR-2025-080147,2025-09-03,MH-21-AA-2576,19,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,10.2,47185,27211,2821,3272,54070,-6885,-14.59,2051,47.8,3
LR-2025-080148,2025-07-12,KA-34-BA-8761,28,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,16.9,56328,27035,6083,2075,48237,8091,14.36,2177,39.9,0
LR-2025-080149,2025-11-21,GJ-22-AB-9170,19,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,10.6,38644,39687,2892,2717,40806,-2162,-5.59,1567,67.6,0
LR-2025-080150,2025-11-13,GJ-19-BA-9482,28,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,20.0,80089,44163,5333,2032,75773,4316,5.39,2616,55.1,0
LR-2025-080151,2025-10-17,WB-14-BC-7904,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,13.7,64866,21892,3370,2636,80901,-16035,-24.72,2620,61.7,0
LR-2025-080152,2025-12-08,MH-73-AB-1579,21,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,30.1,83633,45278,5250,4828,92409,-8776,-10.49,710,65.7,0
LR-2025-080153,2025-12-13,HR-14-CB-9316,19,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,23.2,42484,46279,4756,3042,38264,4220,9.93,1312,17.2,0
LR-2025-080154,2025-11-03,TN-97-AA-8899,16,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,17.6,84699,42722,5648,2312,98805,-14106,-16.65,2140,55.3,0
LR-2025-080155,2025-07-19,RJ-55-BA-6621,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,28.8,41574,33608,3750,2176,41064,510,1.23,2790,16.6,0
LR-2025-080156,2025-08-08,WB-11-BA-1931,16,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,10.7,83320,46741,3539,2957,101812,-18492,-22.19,559,33.6,1
LR-2025-080157,2025-11-20,TN-71-AB-2258,16,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,14.8,50006,31491,4827,4688,63958,-13952,-27.9,1842,66.3,3
LR-2025-080158,2025-09-21,GJ-93-BA-9631,21,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,16.2,63067,50993,3227,2021,71318,-8251,-13.08,1799,66.4,1
LR-2025-080159,2025-12-03,MH-27-BA-5996,32,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,21.1,74754,26044,4325,4769,75713,-959,-1.28,961,18.0,0
LR-2025-080160,2025-08-29,HR-12-CB-1553,21,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,15.3,62854,43177,4030,5188,69011,-6157,-9.8,726,19.3,3
LR-2025-080161,2025-09-17,TN-66-AA-4677,19,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,17.5,59161,46251,4981,2014,60201,-1040,-1.76,1629,17.8,2
LR-2025-080162,2025-09-28,GJ-85-BA-1448,21,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,24.7,35703,46447,4551,5005,44030,-8327,-23.32,613,61.2,0
LR-2025-080163,2025-10-11,KA-64-BB-3663,25,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,19.3,81270,33612,3340,1862,101172,-19902,-24.49,1529,60.8,6
LR-2025-080164,2025-08-07,GJ-53-CA-1632,28,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,15.3,39605,35612,5500,2826,50670,-11065,-27.94,430,23.0,0
LR-2025-080165,2025-11-08,KA-69-AA-8207,16,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,19.3,55036,41509,4766,4412,65753,-10717,-19.47,2659,28.2,0
LR-2025-080166,2025-07-20,RJ-18-CB-3945,21,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,25.6,39213,36097,3863,3827,35439,3774,9.62,901,28.7,0
LR-2025-080167,2025-12-11,MH-24-AA-4018,32,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,20.1,91097,46856,5175,3099,98506,-7409,-8.13,551,47.0,0
LR-2025-080168,2025-10-19,WB-96-BC-9854,32,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,10.4,80828,33381,4232,2247,103122,-22294,-27.58,697,44.4,0
LR-2025-080169,2025-10-01,RJ-97-CA-2169,32,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,18.5,39075,36552,3386,1901,34512,4563,11.68,1717,50.0,0
LR-2025-080170,2025-09-19,KA-47-AA-3626,21,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,10.4,60747,27834,5221,1904,74515,-13768,-22.66,815,50.1,2
LR-2025-080171,2025-08-15,RJ-37-CA-1534,32,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,24.8,67475,42975,5923,4459,76395,-8920,-13.22,701,69.5,6
LR-2025-080172,2025-07-29,TN-78-AB-9646,16,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,22.2,48718,46902,4098,2902,51349,-2631,-5.4,1178,62.8,0
LR-2025-080173,2025-09-22,MH-68-BC-2890,32,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,14.6,49992,44864,4282,2126,46538,3454,6.91,1821,47.4,0
LR-2025-080174,2025-07-22,MH-67-CA-4764,28,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,26.9,57743,26210,5002,2803,63502,-5759,-9.97,2049,53.7,1
LR-2025-080175,2025-10-11,RJ-50-AB-2335,25,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,18.3,73685,27725,5159,3824,65974,7711,10.46,1191,66.4,3
LR-2025-080176,2025-09-07,GJ-80-CB-2654,19,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,27.8,35016,46273,2898,4626,29649,5367,15.33,1063,71.4,0
LR-2025-080177,2025-09-15,TN-55-AC-7591,32,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,21.2,90811,37227,3287,3179,94011,-3200,-3.52,1758,49.1,1
LR-2025-080178,2025-09-24,KA-62-CB-8138,21,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,25.4,81328,26821,5804,2551,63722,17606,21.65,2794,67.3,6
LR-2025-080179,2025-12-22,RJ-96-CB-7215,21,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,18.7,39491,51336,5759,4208,33140,6351,16.08,1524,68.9,0
LR-2025-080180,2025-12-11,TN-46-BC-7292,21,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,25.4,53487,27384,2971,5134,54370,-883,-1.65,1242,40.1,0
LR-2025-080181,2025-11-28,RJ-46-AC-2942,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,15.3,91644,46764,3716,2493,98980,-7336,-8.0,1561,68.6,0
LR-2025-080182,2025-10-25,GJ-28-AB-4388,28,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,27.1,73725,29065,2912,4251,84917,-11192,-15.18,542,69.8,0
LR-2025-080183,2025-08-20,WB-57-BA-5617,28,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,18.5,86362,47152,4933,2316,74398,11964,13.85,2238,32.5,0
LR-2025-080184,2025-11-23,KA-65-CB-5309,16,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,27.7,80289,36248,5796,4539,99396,-19107,-23.8,857,70.2,2
LR-2025-080185,2025-12-04,RJ-30-BC-5523,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,22.7,82776,51609,5552,4982,97057,-14281,-17.25,683,55.6,0
LR-2025-080186,2025-08-12,RJ-34-AA-1130,19,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,12.4,36513,42655,3701,4558,35978,535,1.47,1181,30.9,0
LR-2025-080187,2025-08-18,GJ-26-BA-2453,28,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,27.5,87337,32037,2813,3578,74874,12463,14.27,655,43.5,1
LR-2025-080188,2025-09-07,GJ-88-CA-4845,32,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,16.8,80529,29800,4029,2749,68661,11868,14.74,1576,53.4,0
LR-2025-080189,2025-09-23,KA-47-AB-4586,16,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,29.7,75289,36826,4518,3631,72575,2714,3.6,1712,29.9,0
LR-2025-080190,2025-10-03,HR-54-CA-3098,25,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,27.1,45547,50058,5261,3487,45623,-76,-0.17,1341,17.6,0
LR-2025-080191,2025-09-10,WB-81-BC-5286,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,16.2,48097,43649,6113,3610,58808,-10711,-22.27,2121,38.3,4
LR-2025-080192,2025-10-28,RJ-91-AA-6054,25,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,18.1,51584,28914,4995,2644,52227,-643,-1.25,831,69.1,1
LR-2025-080193,2025-08-07,WB-12-CA-2478,32,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,16.5,55606,41114,5940,4937,45997,9609,17.28,2644,19.6,0
LR-2025-080194,2025-11-03,UP-78-CA-4757,21,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,26.3,47792,42502,4157,3493,45321,2471,5.17,1263,47.0,0
LR-2025-080195,2025-12-18,HR-74-CA-8944,16,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,12.8,34893,37756,2899,2742,27173,7720,22.12,1392,17.9,2
LR-2025-080196,2025-07-09,TN-26-BB-2391,16,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,11.1,87280,45222,2882,1860,101918,-14638,-16.77,2598,49.9,0
LR-2025-080197,2025-09-14,MH-87-BB-6303,25,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,20.3,82226,19535,4037,2922,87642,-5416,-6.59,2259,27.3,0
LR-2025-080198,2025-09-18,GJ-64-AB-4641,25,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,21.3,76994,49676,3964,4678,81585,-4591,-5.96,2564,44.4,0
LR-2025-080199,2025-09-19,HR-67-BA-1407,25,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,25.7,66573,47300,4314,3752,75782,-9209,-13.83,2686,22.1,0
LR-2025-080200,2025-12-02,HR-81-AC-4402,25,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,22.0,43422,23497,3378,3451,51283,-7861,-18.1,2319,45.3,3
LR-2025-080201,2025-08-19,GJ-62-BB-6535,19,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,10.3,83845,44642,2822,2898,73856,9989,11.91,1236,58.3,2
LR-2025-080202,2025-07-10,MH-51-CB-8913,28,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,21.2,69755,23336,3230,3543,71143,-1388,-1.99,697,37.0,2
LR-2025-080203,2025-11-22,UP-35-CB-2862,16,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,28.1,44622,50452,3499,4364,45977,-1355,-3.04,2528,43.3,2
LR-2025-080204,2025-12-21,GJ-25-CA-5820,32,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,28.9,69853,35767,4940,3120,68277,1576,2.26,1902,47.6,0
LR-2025-080205,2025-11-01,RJ-76-BB-8735,25,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,13.9,53018,39638,5858,4749,54719,-1701,-3.21,934,25.2,1
LR-2025-080206,2025-09-08,UP-29-CB-2098,16,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,16.0,65055,30299,3616,4642,49774,15281,23.49,764,46.1,0
LR-2025-080207,2025-07-24,UP-18-BC-4703,21,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,22.7,38004,30624,3924,2964,41234,-3230,-8.5,2125,48.7,0
LR-2025-080208,2025-10-19,MH-19-AC-2687,32,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,14.0,74927,29686,3876,4108,86828,-11901,-15.88,799,23.1,0
LR-2025-080209,2025-09-30,GJ-88-CB-4429,19,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,9.6,76259,33193,3686,2174,88334,-12075,-15.83,980,24.0,0
LR-2025-080210,2025-12-10,UP-75-CB-7969,32,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,19.4,34016,37828,4849,4912,31571,2445,7.19,860,29.5,0
LR-2025-080211,2025-08-24,RJ-49-BC-9694,16,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,28.0,84719,32018,3480,4395,81371,3348,3.95,1517,55.8,3
LR-2025-080212,2025-10-20,HR-81-CA-6704,19,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,10.0,70732,41965,4709,4956,70000,732,1.03,1797,56.8,0
LR-2025-080213,2025-11-05,TN-57-AC-1174,19,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,18.8,70686,30772,2822,4201,85931,-15245,-21.57,1651,34.4,4
LR-2025-080214,2025-12-20,GJ-14-BB-8843,25,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,10.4,50630,34583,3923,4361,51716,-1086,-2.14,614,70.4,3
LR-2025-080215,2025-08-25,KA-72-AC-8756,32,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,27.9,90569,24808,2956,3313,102649,-12080,-13.34,498,50.3,1
LR-2025-080216,2025-11-20,HR-63-AB-1918,25,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,22.9,80244,22084,4087,2199,91705,-11461,-14.28,2608,31.5,3
LR-2025-080217,2025-12-19,RJ-96-BC-3772,28,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,24.7,76932,42002,4914,1858,83031,-6099,-7.93,2031,39.3,1
LR-2025-080218,2025-08-17,UP-44-AB-3827,25,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,10.4,38029,31020,5620,3870,30187,7842,20.62,2056,25.7,2
LR-2025-080219,2025-10-05,GJ-81-BC-2928,21,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,19.3,88909,23642,5119,3696,111080,-22171,-24.94,741,22.5,0
LR-2025-080220,2025-10-03,WB-31-AA-4563,32,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,17.4,81811,23326,5766,2810,65853,15958,19.51,1640,62.9,1
LR-2025-080221,2025-11-20,GJ-16-CA-5703,19,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,15.4,90661,38679,4495,2725,77911,12750,14.06,1151,31.3,0
LR-2025-080222,2025-09-02,GJ-21-CB-6818,28,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,17.1,53328,47469,6197,4384,47721,5607,10.51,1078,18.1,3
LR-2025-080223,2025-07-31,MH-99-CA-6683,32,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,26.5,59275,36919,3649,3201,49848,9427,15.9,2443,46.9,2
LR-2025-080224,2025-10-31,GJ-37-CB-5273,16,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,28.9,51625,51884,5496,4385,41671,9954,19.28,1143,42.6,0
LR-2025-080225,2025-09-18,WB-51-AB-6879,16,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,12.8,55167,49162,4170,3179,52607,2560,4.64,790,26.5,0
LR-2025-080226,2025-11-06,WB-66-CB-8126,32,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,17.9,44665,33963,3834,4762,44788,-123,-0.28,1908,49.7,0
LR-2025-080227,2025-10-25,HR-63-CA-5413,28,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,17.9,60289,19871,3471,3897,55230,5059,8.39,1061,67.7,4
LR-2025-080228,2025-11-03,UP-26-BC-1881,16,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,16.0,79719,27270,6082,3217,99671,-19952,-25.03,2258,38.2,0
LR-2025-080229,2025-11-09,GJ-49-AB-4024,19,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,27.5,77162,46609,3169,4766,64561,12601,16.33,1382,24.6,0
LR-2025-080230,2025-08-23,UP-54-AB-8713,28,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,23.9,84830,31925,4734,4537,80980,3850,4.54,1921,62.6,1
LR-2025-080231,2025-09-15,UP-50-AC-7551,21,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,28.4,84007,45826,5245,3413,103901,-19894,-23.68,2567,20.0,0
LR-2025-080232,2025-12-17,MH-87-AC-4852,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,17.1,82524,50863,6171,1806,104353,-21829,-26.45,2834,58.1,4
LR-2025-080233,2025-08-18,MH-15-BA-5946,25,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,11.4,76308,43170,5478,2536,67123,9185,12.04,2123,24.4,0
LR-2025-080234,2025-12-15,GJ-63-AC-3679,25,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,23.8,78254,24975,4704,5102,92892,-14638,-18.71,718,35.4,2
LR-2025-080235,2025-12-20,UP-50-AC-9306,25,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,23.9,76983,18759,4791,4478,93033,-16050,-20.85,2025,39.7,0
LR-2025-080236,2025-07-14,HR-87-CB-9225,21,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,25.9,61851,39958,4991,3294,55326,6525,10.55,837,60.0,8
LR-2025-080237,2025-12-03,UP-10-BC-5224,19,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,20.3,68846,47818,4581,1998,79517,-10671,-15.5,2283,31.8,0
LR-2025-080238,2025-12-11,RJ-42-CA-6528,32,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,15.7,66087,19542,5023,2894,66043,44,0.07,1112,32.4,0
LR-2025-080239,2025-07-14,WB-86-AB-6853,32,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,10.3,63279,43966,3818,2517,58774,4505,7.12,724,46.0,0
LR-2025-080240,2025-09-04,GJ-54-CB-4999,32,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,26.7,43479,48042,2966,2113,47354,-3875,-8.91,1717,36.9,0
LR-2025-080241,2025-11-28,TN-75-AB-6534,32,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,25.2,81435,45690,4441,1891,88900,-7465,-9.17,1133,69.2,0
LR-2025-080242,2025-12-03,TN-24-BA-5275,21,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,22.4,76788,33974,5643,5072,88014,-11226,-14.62,580,37.0,0
LR-2025-080243,2025-10-14,UP-45-AA-7531,19,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,23.7,83854,35870,2820,3467,104520,-20666,-24.65,1228,17.0,0
LR-2025-080244,2025-08-27,RJ-22-BA-4683,16,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,24.4,42504,32487,3061,4304,38376,4128,9.71,1558,56.8,1
LR-2025-080245,2025-07-14,RJ-79-CA-8792,28,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,9.8,64188,40321,4109,3218,68406,-4218,-6.57,2200,24.5,3
LR-2025-080246,2025-11-10,TN-42-CA-1528,32,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,27.4,66700,23151,5386,3792,57998,8702,13.05,2679,71.2,0
LR-2025-080247,2025-09-20,GJ-47-BC-8397,32,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,19.3,83021,28217,5359,4195,105614,-22593,-27.21,1062,51.0,0
LR-2025-080248,2025-12-18,GJ-81-CB-4845,25,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,28.8,61223,26630,4350,4286,78233,-17010,-27.78,885,21.4,0
LR-2025-080249,2025-11-08,UP-61-CA-6767,19,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,18.3,41250,36276,4108,4955,43592,-2342,-5.68,1867,51.3,1
LR-2025-080250,2025-07-14,RJ-74-CA-4688,25,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,19.9,79013,48403,3972,5183,99503,-20490,-25.93,2220,24.8,3
LR-2025-080251,2025-08-09,RJ-69-AC-2610,25,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,21.7,60217,45400,4513,3480,54796,5421,9.0,1153,51.6,1
LR-2025-080252,2025-08-17,HR-86-CA-1374,21,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,22.3,43081,28909,5131,4362,46400,-3319,-7.7,2312,54.3,6
LR-2025-080253,2025-07-09,TN-80-BA-3644,25,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,17.3,35488,33683,3517,3734,40681,-5193,-14.63,1198,34.1,0
LR-2025-080254,2025-08-27,KA-41-CB-4963,19,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,29.9,36024,50782,5427,2255,31256,4768,13.24,1736,64.8,4
LR-2025-080255,2025-12-06,WB-14-CA-9515,25,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,27.6,50047,22611,6007,3508,50065,-18,-0.04,1445,65.5,0
LR-2025-080256,2025-07-11,WB-66-CB-1979,21,LCV,Attached,JSW Steel,Bhilai Steel Plant,Bengaluru,26.5,80910,20615,4288,3436,94166,-13256,-16.38,2475,51.2,0
LR-2025-080257,2025-11-16,GJ-84-AB-3768,21,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Hyderabad,18.2,85604,40271,3381,2795,70581,15023,17.55,2356,27.8,0
LR-2025-080258,2025-08-28,KA-41-BB-6610,21,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Ahmedabad,24.0,76076,39670,6025,3644,85261,-9185,-12.07,1436,47.8,1
LR-2025-080259,2025-08-12,GJ-13-BA-7076,28,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Jaipur,17.1,83894,37085,4056,4732,69868,14026,16.72,1028,47.8,0
LR-2025-080260,2025-10-09,UP-98-AC-3400,28,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,15.6,80732,43180,3853,4408,79822,910,1.13,1313,17.6,0
LR-2025-080261,2025-12-20,GJ-56-CA-8814,28,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,28.4,53854,40558,5437,2438,45084,8770,16.28,2784,63.7,0
LR-2025-080262,2025-08-21,UP-77-CB-3873,25,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,28.3,58534,18932,5539,2065,55991,2543,4.34,1782,28.6,0
LR-2025-080263,2025-11-23,MH-55-CB-8525,28,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,28.7,43836,18799,5856,5154,39659,4177,9.53,2526,66.3,2
LR-2025-080264,2025-09-12,HR-52-AB-5447,28,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,29.7,57826,23206,6068,2029,63921,-6095,-10.54,2209,47.7,0
LR-2025-080265,2025-11-07,MH-39-CB-3907,16,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,30.1,50781,35417,5060,2936,59646,-8865,-17.46,754,57.6,2
LR-2025-080266,2025-11-20,GJ-17-BA-4728,19,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,21.8,38172,49279,4701,2202,46997,-8825,-23.12,2579,65.4,0
LR-2025-080267,2025-11-03,KA-24-CB-2366,25,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,13.6,85774,32089,5250,3795,93462,-7688,-8.96,1608,47.9,1
LR-2025-080268,2025-09-01,MH-85-CB-1008,21,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,25.3,90435,35743,4817,4385,111289,-20854,-23.06,1103,34.4,0
LR-2025-080269,2025-10-08,GJ-78-BA-6589,21,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,23.7,52596,50968,4064,4363,65995,-13399,-25.48,2182,22.2,2
LR-2025-080270,2025-10-03,KA-73-AC-3929,16,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,25.5,45939,37964,3187,3615,46561,-622,-1.35,1782,51.7,0
LR-2025-080271,2025-11-26,MH-37-BB-9221,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,16.2,45970,48924,3221,4604,39565,6405,13.93,1609,67.9,0
LR-2025-080272,2025-11-13,MH-60-AC-3587,28,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,23.4,78032,39343,4915,3740,65577,12455,15.96,2818,60.2,2
LR-2025-080273,2025-10-17,KA-48-BC-3375,21,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,16.5,51654,41195,6196,4852,45401,6253,12.11,1671,41.2,0
